"biosphere","id","river","site","weather","other_weather","start_comment","dissolved_oxygen_ppm","dissolved_oxygen_percent","time","nitrate","phosphate","salinity_ppt","salinity_percent","tds","electrical_conductivity","ph","irrigation_suitability","air_temperature","latitude","longitude","altitude_m","location_accuracy_m","datetime","date","flag_ph","flag_do_ppm","flag_do_percent","flag_ec","flag_temp","any_flag"
"Vhembe BR","Levubu River Luvuvhu03","Levubu River","Luvuvhu03","sunny","","Just Normal sunny day",0.45,6.3,"04/22/2024 09:21",NA,NA,NA,NA,NA,120.4,6.44,"pH reading indicates the water is NOT suitable for irrigation",23.8,-22.7455667,30.8841501,425.1,4.666,2024-04-22 09:21:00,2024-04-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Tshakhuma01 Tshakhuma001","Tshakhuma01","Tshakhuma001","sunny","","",0.9,11,"04/23/2024 09:12",NA,NA,NA,NA,NA,109.3,7.36,"pH reading indicates the water is suitable for irrigation",24.5,-23.0529576,30.2965128,650,5,2024-04-23 09:12:00,2024-04-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu01","Levubu River","Luvuvhu01","sunny","","Mulenzhe sampling day 1",2.56,30.45,"04/23/2024 10:38",NA,NA,NA,NA,NA,147.2,8.28,"pH reading indicates the water is suitable for irrigation",23,-22.9711889,30.6037713,467.3,4.858,2024-04-23 10:38:00,2024-04-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu01","Levubu River","Luvuvhu01","sunny","","Mulenzhe sampling day 1",2.56,30.4,"04/23/2024 10:11",NA,NA,NA,NA,NA,147.2,8.28,"pH reading indicates the water is suitable for irrigation",23,-22.97125501,30.60377605,476.8295899,4.9,2024-04-23 10:11:00,2024-04-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 2","Kubjaname","Site 2","cloudy","","",NA,175.9,"04/24/2024 09:01",NA,NA,NA,NA,NA,61.6,8.78,"pH reading indicates the water is NOT suitable for irrigation",22.8,-24.3035983,30.5046533,613.2,4.7,2024-04-24 09:01:00,2024-04-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Levubu03","Levubu River","Levubu03","sunny","","Just normal day",7.59,116.9,"04/26/2024 07:07",NA,NA,NA,NA,NA,120,7.14,"pH reading indicates the water is suitable for irrigation",24.3,-22.7455416,30.8842272,460,4.533,2024-04-26 07:07:00,2024-04-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu 2 site 2","Levubu River","Luvuvhu 2 site 2","partly_cloudy","","",2.16,26.1,"04/26/2024 15:11",NA,NA,NA,NA,NA,54.5,7.84,"pH reading indicates the water is suitable for irrigation",24,-22.97173981,30.60343732,501.6345828,4.9,2024-04-26 15:11:00,2024-04-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu 2 site 2","Levubu River","Luvuvhu 2 site 2","partly_cloudy","","",2.16,26.1,"04/26/2024 15:00",NA,NA,NA,NA,NA,54.5,7.84,"pH reading indicates the water is suitable for irrigation",24,-22.9717356,30.6034394,496.1,4.58,2024-04-26 15:00:00,2024-04-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu 1 Site 2","Levubu River","Luvuvhu 1 Site 2","partly_cloudy","","Mulenzhe Village Sampling Day",2.16,26.1,"04/26/2024 15:12",NA,NA,NA,NA,NA,64.5,7.84,"pH reading indicates the water is suitable for irrigation",24.1,-22.97165197,30.60342238,483.1174316,3.902548,2024-04-26 15:12:00,2024-04-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu 1 site 1","Levubu River","Luvuvhu 1 site 1","partly_cloudy","","",2.04,22.8,"04/29/2024 09:52",NA,NA,NA,NA,NA,150.1,7.85,"pH reading indicates the water is suitable for irrigation",21.5,-22.97123668,30.60378697,511.5958684,4.9,2024-04-29 09:52:00,2024-04-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu 2 site 1","Levubu River","Luvuvhu 2 site 1","partly_cloudy","","",2.04,22.8,"04/29/2024 10:03",NA,NA,NA,NA,NA,150.1,7.85,"pH reading indicates the water is suitable for irrigation",21.5,-22.9711643,30.6037935,553.6000366,4.46,2024-04-29 10:03:00,2024-04-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvhuvhu 2 Site 1","Levubu River","Luvhuvhu 2 Site 1","partly_cloudy","","We found people performing spiritual activities.",2.04,22.8,"04/29/2024 09:54",NA,NA,NA,NA,NA,150.1,7.85,"pH reading indicates the water is suitable for irrigation",21.5,-22.97113478,30.60374109,484.0995483,4.8786755,2024-04-29 09:54:00,2024-04-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu03","Levubu River","Luvuvhu03","sunny","","",3.59,10,"04/29/2024 12:18",NA,NA,NA,NA,NA,87,7.46,"pH reading indicates the water is suitable for irrigation",21.2,-22.7274964,30.8852695,447.8,4.898,2024-04-29 12:18:00,2024-04-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 1","Kubjaname","Site 1","cloudy","","",NA,205,"04/24/2024 08:32",NA,NA,NA,NA,NA,59.4,8.17,"pH reading indicates the water is suitable for irrigation",22.9,-24.3044033,30.5048984,617.9,3.9,2024-04-24 08:32:00,2024-04-24,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","sunny","","",NA,230.2,"04/30/2024 08:21",NA,NA,NA,NA,NA,49.7,7.12,"pH reading indicates the water is suitable for irrigation",20.8,-24.258717,30.453923,617.1000366,4.26,2024-04-30 08:21:00,2024-04-30,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Moetladimo Moe2 Alt 1","Moetladimo","Moe2 Alt 1","sunny","","",NA,173.8,"04/30/2024 09:06",NA,NA,NA,NA,NA,48.5,8.28,"pH reading indicates the water is suitable for irrigation",20.6,-24.251785,30.4516067,599.8,4.1,2024-04-30 09:06:00,2024-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu 2 site 2","Levubu River","Luvuvhu 2 site 2","sunny","","",18.8,21.8,"04/30/2024 09:04",NA,NA,NA,NA,NA,150.8,7.72,"pH reading indicates the water is suitable for irrigation",21.1,-22.97168468,30.60341554,479.4799532,4.9,2024-04-30 09:04:00,2024-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Site 1","Olifants","Site 1","sunny","","",NA,130.6,"05/02/2024 08:29",NA,NA,NA,NA,NA,221,10.21,"pH reading indicates the water is NOT suitable for irrigation",20.1,-24.3617419,30.6586376,492.7,4.766,2024-05-02 08:29:00,2024-05-02,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Vhembe BR","Levubu River Tshakhuma2","Levubu River","Tshakhuma2","cloudy","","",0.72,8.5,"05/03/2024 08:40",NA,NA,NA,NA,NA,93.2,7.95,"pH reading indicates the water is suitable for irrigation",22.1,-23.0529804,30.2966029,664,4.15,2024-05-03 08:40:00,2024-05-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Tshakhuma1","Levubu River","Tshakhuma1","sunny","","",0.72,9.3,"05/07/2024 09:37",NA,NA,NA,NA,NA,107.3,7.99,"pH reading indicates the water is suitable for irrigation",22.6,-23.0540487,30.2969263,642,3.9,2024-05-07 09:37:00,2024-05-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 3","Moetladimo","Site 3","sunny","","",NA,206,"05/07/2024 10:15",NA,NA,NA,NA,NA,46.2,11.99,"pH reading indicates the water is NOT suitable for irrigation",21.3,-24.2469517,30.4553787,603.500061,4.6,2024-05-07 10:15:00,2024-05-07,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Moetladimo Moe Alt 2","Moetladimo","Moe Alt 2","sunny","","",NA,170,"05/07/2024 08:46",NA,NA,NA,NA,NA,46.5,8.66,"pH reading indicates the water is NOT suitable for irrigation",21.5,-24.2518156,30.4517699,603.500061,4.7,2024-05-07 08:46:00,2024-05-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","sunny","","",NA,178.5,"05/07/2024 08:20",NA,NA,NA,NA,NA,48.2,7.88,"pH reading indicates the water is suitable for irrigation",21.3,-24.2587087,30.4538996,607.4,4.775,2024-05-07 08:20:00,2024-05-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Halambani site 1","Levubu River","Halambani site 1","sunny","","Today we have water pump machine operating so it may affect the results due to sound  oil spill n e.t.c",0.05,0.7,"05/07/2024 13:02",NA,NA,NA,NA,NA,121.7,7.6,"pH reading indicates the water is suitable for irrigation",23.3,-22.7456053,30.884258,447.3,3.9,2024-05-07 13:02:00,2024-05-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 1","Marakalala","Site 1","sunny","","",NA,16.9,"05/09/2024 11:58",NA,NA,NA,NA,NA,230,6.96,"pH reading indicates the water is suitable for irrigation",19.6,-24.522804,30.7073257,840.8,4.8,2024-05-09 11:58:00,2024-05-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 1","Marakalala","Site 1","sunny","","",NA,16.9,"05/09/2024 11:58",NA,NA,NA,NA,NA,230,6.96,"pH reading indicates the water is suitable for irrigation",19.6,-24.52272672,30.70726187,854.7638524,4.9,2024-05-09 11:58:00,2024-05-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Tshakhuma2","Levubu River","Tshakhuma2","sunny","","",0.73,8.5,"05/10/2024 08:56",NA,NA,NA,NA,NA,102,7.39,"pH reading indicates the water is suitable for irrigation",21.6,-23.0528453,30.2965282,648,4.46,2024-05-10 08:56:00,2024-05-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","sunny","","",NA,165.3,"05/14/2024 08:30",NA,NA,NA,NA,NA,43,8.12,"pH reading indicates the water is suitable for irrigation",20.8,-24.25876,30.453865,617.1000366,4.3,2024-05-14 08:30:00,2024-05-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 1","Levubu River","Mulenzhe site 1","light_rain","","",2.36,27.5,"05/14/2024 10:07",NA,NA,NA,NA,NA,153.9,8.12,"pH reading indicates the water is suitable for irrigation",21.6,-22.97119151,30.60376555,493.1382308,4.9,2024-05-14 10:07:00,2024-05-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Luvuvhu 2 site 2","Levubu River","Luvuvhu 2 site 2","sunny","","",18.8,21.8,"04/30/2024 09:03",NA,NA,NA,NA,NA,150.8,7.72,"pH reading indicates the water is suitable for irrigation",21.1,-22.9717067,30.6034319,475.7,4.72,2024-04-30 09:03:00,2024-04-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe Site 1","Levubu River","Mulenzhe Site 1","light_rain","","",2.36,27.5,"05/14/2024 10:06",NA,NA,NA,NA,NA,153.9,8.12,"pH reading indicates the water is suitable for irrigation",21.6,-22.9712109,30.6038488,474.4,5,2024-05-14 10:06:00,2024-05-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Moe3 Atl 1","Moetladimo","Moe3 Atl 1","partly_cloudy","","",NA,187.7,"05/14/2024 10:15",NA,NA,NA,NA,NA,55.7,7.99,"pH reading indicates the water is suitable for irrigation",21.1,-24.24725,30.455325,601.7,4.4,2024-05-14 10:15:00,2024-05-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Halambani site 2","Levubu River","Halambani site 2","partly_cloudy","","Little bit rainy in the morning",0.3,4.2,"05/14/2024 13:47",NA,NA,NA,NA,NA,81.2,8.32,"pH reading indicates the water is suitable for irrigation",22.3,-22.727473,30.8853142,401.8,4.583,2024-05-14 13:47:00,2024-05-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","partly_cloudy","","It was raining in the morning  but by the time of our sampling it was partly clouds",0.3,4.2,"05/14/2024 13:50",NA,NA,NA,NA,NA,81.2,8.32,"pH reading indicates the water is suitable for irrigation",22.3,-22.7275524,30.8852983,424.2,3.22,2024-05-14 13:50:00,2024-05-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Moe Alt 2","Moetladimo","Moe Alt 2","sunny","","",NA,172.5,"05/14/2024 09:21",NA,NA,NA,NA,NA,51.3,8.07,"pH reading indicates the water is suitable for irrigation",21.9,-24.2517778,30.4516808,593.6,4.866,2024-05-14 09:21:00,2024-05-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 1","Kubjaname","Site 1","light_rain","","",NA,182.7,"05/15/2024 08:39",NA,NA,NA,NA,NA,89.2,7.96,"pH reading indicates the water is suitable for irrigation",20.8,-24.304475,30.5049433,619.8,3.9,2024-05-15 08:39:00,2024-05-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 1","Mohlatsengwana","Site 1","partly_cloudy","","",NA,NA,"05/15/2024 09:43",NA,NA,NA,NA,NA,385,7.81,"pH reading indicates the water is suitable for irrigation",18.3,-24.5519061,30.6754376,867.8,5,2024-05-15 09:43:00,2024-05-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 2","Mohlatsengwana","Site 2","partly_cloudy","","",NA,NA,"05/15/2024 11:08",NA,NA,NA,NA,NA,340,7.96,"pH reading indicates the water is suitable for irrigation",19.7,-24.5395049,30.6893005,852.6,4.775,2024-05-15 11:08:00,2024-05-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 3","Mohlatsengwana","Site 3","partly_cloudy","","",NA,NA,"05/15/2024 12:21",NA,NA,NA,NA,NA,361,7.96,"pH reading indicates the water is suitable for irrigation",19.2,-24.540576,30.6954677,862,4.8,2024-05-15 12:21:00,2024-05-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 1","Marakalala","Site 1","sunny","","",NA,NA,"05/16/2024 09:06",NA,NA,NA,NA,NA,236,6.68,"pH reading indicates the water is suitable for irrigation",17.2,-24.522776,30.7072552,849.1,4.7,2024-05-16 09:06:00,2024-05-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Site 1","Olifants","Site 1","sunny","","",NA,175,"05/16/2024 08:33",NA,NA,NA,NA,NA,246,8.64,"pH reading indicates the water is NOT suitable for irrigation",19,-24.3616184,30.6585743,443.8,4.95,2024-05-16 08:33:00,2024-05-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Tshakhuma1","Levubu River","Tshakhuma1","sunny","","",0.67,7.7,"05/16/2024 09:05",NA,NA,NA,NA,NA,125.5,7.97,"pH reading indicates the water is suitable for irrigation",22.4,-23.0540919,30.2969937,660,4.515,2024-05-16 09:05:00,2024-05-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 2","Marakalala","Site 2","sunny","","",NA,NA,"05/16/2024 10:17",NA,NA,NA,NA,NA,460,7.45,"pH reading indicates the water is suitable for irrigation",19.1,-24.5267083,30.71954,825.5,4.8,2024-05-16 10:17:00,2024-05-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","partly_cloudy","","Raining in the morning",0.3,4.2,"05/14/2024 13:52",NA,NA,NA,NA,NA,81.2,8.32,"pH reading indicates the water is suitable for irrigation",22.3,-22.7604798,30.8956448,0,4400,2024-05-14 13:52:00,2024-05-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
